name,currency,price,Boat REF,Length,Year,Construction,Underwater profile,Sleeping berths,Engine,Lying
Seamaster 815,GBP,8995.00,315377,8.15,1980,GRP,Fin,3,1 x diesel 8hp/ Yanmar (1980),Lancashire
Bertram 510,USD,325000.00,260444,16.47,2002,GRP,Planing,6,2 x diesel 1050hp/ MAN D2840 (2002),Phuket / Thailand
Zodiac Pro 12,GBP,8950.00,314750,5.20,2007,GRP,Planing,,1 x gasoline 80hp/ Mariner EFI (2007),Neyland/ Pembrokeshire
Seamaster 27,GBP,8950.00,320754,8.13,1974,GRP,Semi-Displacement,3,1 x diesel 60hp/ Ford 1.8 xld (unknown year),St olaves
Bayliner 160 Bowrider,GBP,8750.00,315071,4.90,2010,GRP,Planing,,1 x gasoline 90hp/ Mercury OptiMax (2010),Lawrenny
Snapdragon 27,GBP,8750.00,314517,8.28,1973,GRP,Bilge,6,1 x diesel 19hp/ Volvo MD2020 (2004),Essex 
Zodiac 340 RIB Yachtline,GBP,8500.00,312443,3.40,2004,GRP,Planing,,1 x gasoline 25hp/ Mercury "BigFoot" Fourstroke (2004),Essex
Van De Stadt Pioneer 10,GBP,8500.00,317252,9.70,1971,GRP,Fin,5,1 x diesel 20hp/ Beta (2000),River Hamble
Dufour 2800 Fin Keel,GBP,8450.00,306241,8.25,1980,GRP,Fin,5,1 x diesel 18hp/ Volvo Penta 2000 (1991),Truro UK
White Silk 28,GBP,8450.00,306346,8.53,1996,GRP,Bilge,5,1 x diesel 20hp/ Volvo Penta MD20 (1996),Wirral
Merry Nautic Merry 520 Sports Cuddy Cabin,EUR,9500.00,253357,5.25,2000,GRP,Planing,2,1 x gasoline 70hp/ Suzuki 4 stroke (2000), France Languedoc Roussillon
Lancer  30 Sloop,USD,10000.00,314214,9.14,1985,GRP,Fin,4,1 x diesel 16hp/ Yanmar (1985),Tacoma/ WA USA - Shown by Appointment
Macan Boats 32 Lounge,EUR,296033.00,316620,11.00,New,Aluminium,Planing,2,,
