name,currency,price,Boat REF,Length,Year,Construction,Underwater profile,Sleeping berths,Engine,Lying
Dickie &amp; Sons Custom,EUR,6950000.00,226126,35.00,1930,Wood,Other,8,2 x diesel 230hp/ Gardner 8L3B (1990),Alpes Maritimes
Punat Shipyard Punat 28m,EUR,2600000.00,272150,28.35,1967,Wood,Full-Displacement,16,2 x diesel 400hp/ MAN D2866 (2008),Barcelona
Pilot Cutter 19.6m,GBP,775000.00,311145,19.75,2016,Steel,Semi-Displacement,,2 x diesel 670hp/ Caterpillar C18 500bKW @2100rpm B Rated (2016),Pembrokeshire
Dutch Barge 20m With London Mooring,GBP,220000.00,311206,19.80,1930,Steel,Full-Displacement,4,1 x diesel 185hp/ DAF (unknown year),Chelsea Harbour
Astondoa 58 GLX,EUR,250000.00,261145,17.72,1992,GRP,Full-Displacement,10,2 x diesel 925hp/ Detroit Diesel (1992),Gibraltar
Lagoon 380,USD,269000.00,317621,11.55,2016,GRP,Multihull,8,2 x diesel 29hp/ Yanmar 3YM30AE (2015),St.Lucia
Carver 530 Voyager Pilot House,EUR,245000.00,304176,16.40,1999,GRP,Planing,6,2 x diesel 610hp/ Volvo penta  TAMD122P (1999),French Riviera 
Elan 514 Impression,EUR,244950.00,307060,15.00,2007,Composite,Semi-Displacement,10,1 x diesel 81hp/ Volvo Dc 75 (2012),Marina Levante/  Valencia
Versil Craft 26 Aft Cabin/ Flybridge/ 2 Separate Crew Cabins,EUR,240000.00,262405,25.40,1984,Wood,Planing,14,3 x diesel 650hp/ GM (1984),Athens
Formula 45 Yacht,EUR,239950.00,310111,14.70,2008,GRP,Planing,6,2 x diesel 435hp/ Volvo IPS 600 (2008),French Riviera Cote d Azur France
Aluminium Custom 21 M Yacht Ketch Rig,USD,250000.00,215324,21.30,1981,Aluminium,Fin,10,1 x diesel 138hp/ Volvo (1981),Phuket Thailand
Beneteau Oceanis 45,USD,249995.00,317420,13.85,2018,GRP,Fin,4,1 x diesel 80hp/ Yanmar 4JH80 (2018),St.Lucia
Monk-McQueen 74' Motoryacht,USD,249500.00,315220,22.56,1976,Wood,Full-Displacement,5,2 x diesel 235hp/ Detroit 8V71 N (1976),Waterline Boats Sales Dock on Lake Union/ Seattle WA
Pilot Cutter 19.6m,GBP,775000.00,311150,19.75,2016,Steel,Semi-Displacement,,2 x diesel 670hp/ Caterpillar C18 500bKW @2100rpm B Rated (2016),Pembrokeshire
Houseboat Thames Lighter Barge 26m,GBP,200000.00,312743,26.00,1910,Iron,Full-Displacement,4,,Suffolk
Thames Sailing Barge 58ft,GBP,199995.00,307765,19.14,1905,Steel,Full-Displacement,9,1 x diesel 128hp/ Ford 6 cylinder  (unknown year),Chelmsford
Freedom 45 Aft Cabin,GBP,199950.00,317120,13.70,1990,GRP,Wing Keel,7,1 x diesel 62hp/ Yanmar  (1990),Essex
Houseboat 85ft,GBP,199000.00,314676,25.91,unknown year,Steel,Other,6,,River Orwell
Humber Keel 23,GBP,198000.00,315564,23.00,1912,Steel,Full-Displacement,8,,Beccles
Riviera 43,USD,240000.00,312170,13.11,2002,GRP,Semi-Displacement,6,2 x diesel 675hp/ Volvo Penta D12-675 (2002),Cartagena
Invicta Power Catamaran 30,USD,240000.00,310477,9.00,New,GRP,Multihull,,4 x gasoline 140hp/ Suzuki Quads or Twins,Gordons Bay Cape Town
Float8 Houseboat With London Mooring,GBP,195000.00,303172,12.00,2023,Aluminium,Full-Displacement,6,1 x gasoline 40hp/ Yamaha (2021),Greenland Dock/ London SE16
WE Thomas Gentleman's Classic Cutter,GBP,195000.00,315721,18.90,1909,Wood,Long Keel,5,1 x diesel 75hp/ Beta (2013),Vilamoura 
SEALOFT PANORAMA,EUR,216000.00,275340,12.00,2020,GRP,Full-Displacement,5,,Lorient
Azimut 58,USD,950000.00,307036,17.88,2011,GRP,Planing,7,2 x diesel 700hp/ Caterpillar C 12 (unknown year),Phuket / Thailand
Pedro Levanto 44,GBP,190000.00,317745,13.40,2009,Steel,Full-Displacement,4,1 x diesel 155hp/ Perkins M255Ti (2009),St Katharine's Dock/ London
Dutch Barge 26.5m,GBP,190000.00,314431,26.50,1920,Steel,Full-Displacement,4,1 x diesel 150hp/ Daimler Benz (unknown year),Port Medway Marina/ Rochester
Lagoon 380 S2 Owners Version,GBP,189950.00,316251,11.55,2006,GRP,Multihull,8,2 x diesel 29hp/ Yanmar 3YM30 (2006), Essex 
Beneteau Oceanis 54,EUR,205000.00,320325,16.69,2012,GRP,Fin,12,1 x diesel 75hp/ Yanmar 4JH4-TE (2012),Athens
Cruisers Yachts 415,EUR,204950.00,320735,13.00,2006,GRP,Semi-Displacement,5,2 x diesel 370hp/ Yanmar (2006),Valencia
Ranger Tugs R-27 Northwest Edition,USD,219000.00,316177,8.23,2021,GRP,Planing,5,1 x gasoline 300hp/ Yamaha (2021),Seattle/ WA USA - At Our Docks! 
Luxemotor Dutch  Barge Practical Cruising Home,EUR,200000.00,241406,30.88,1909,Steel,Full-Displacement,3,1 x diesel 150hp/ DK6 (unknown year),Rhone Saone bassin
Dutch Steel Motor Cruiser RINJLANDVLET 14.50 DV,EUR,199000.00,317233,14.50,1997,Steel,Full-Displacement,5,2 x diesel 105hp/ DAF 575 (1996),midi canals
Float8 Houseboat One 12m,GBP,175000.00,302031,12.20,New,Aluminium,Full-Displacement,6,1 x gasoline 40hp/ Yamaha,Central London
Dyna Craft 51,GBP,174950.00,320416,17.92,1989,GRP,Full-Displacement,8,2 x diesel 550hp/ Detroit 92 (1989),Brighton
Cobrey 50 FLY,EUR,850000.00,307446,15.60,2019,GRP,Planing,6,2 x diesel 435hp/ Volvo IPS 600 (2019),French Riviera Cote d Azur France
Bavaria 51 Cruiser,EUR,198000.00,231324,15.59,2015,GRP,Fin and Bulb,10,1 x diesel 75hp/ Volvo Penta D2-75 (2015),Middle Dalmatia/ Croatia
Dehler 30 OD,EUR,197750.00,316031,10.30,2020,GRP,Fin,6,1 x diesel 10hp/ Nanni n2.10 (2020),Med.
Pinisi Classic,THB,7300000.00,216504,20.00,1999,Wood,Long Keel,5,1 x diesel 63hp/ Yanmar 3L15 (1995),Koh Samui
Jeanneau Sun Odyssey 449,EUR,195000.00,242707,13.34,2017,GRP,Fin,8,1 x diesel 57hp/ Yanmar diesel 4JH57CR (2017),Middle Dalmatia/ Croatia
Alalunga 22.8,USD,210000.00,270124,22.80,1982,Wood,Planing,8,2 x diesel 675hp/ GM Detroit 12v71t's (1981),Phuket / Thailand
Humber Barge 60ft,GBP,169950.00,321210,18.79,1920,Steel,Full-Displacement,4,1 x diesel 0hp/ Lister (unknown year),Medway/  Kent
Riviera 48 Platinum,EUR,190000.00,247601,16.20,1997,GRP,Planing,6,2 x diesel 660hp/ Caterpillar 3176 (1997),Costa Brava/ Girona
Glacer 54 - Aluminium With Center Board,EUR,190000.00,241372,19.20,1984,Aluminium,Lifting Keel,8,2 x diesel 100hp/ Volvo Penta  TMD 31 (unknown year),CYPRUS - by appointment only
Fontaine Pajot Athena 38 4 Cabin Version/ 2 Heads,EUR,189000.00,306720,11.00,1998,GRP,Multihull,8,2 x diesel 38hp/ Yanmar 3YM30 (2006),Costa Blanca
Barge Dutch Live Aboard Boat,EUR,189000.00,302642,23.00,1930,Steel,Full-Displacement,4,1 x diesel 165hp/ BAUDOIN DK6 (unknown year),BURGUNDY CENTER
Royal Huisman Custom,EUR,850000.00,226054,25.00,1982,Aluminium,Fin,10,1 x diesel 260hp/ Mercedes-Benz 8VOM422 (unknown year),French Riviera
HopYacht 30 Catamaran,EUR,188600.00,310026,9.35,New,GRP,Multihull,4,2 x Electric 9.9hp/ E-propulsion Evo 6.0 - 6kW Electric Pod drives,Cape Town
Dutch Barge 22M Luxemotor,GBP,165000.00,313672,22.10,1922,Steel,Full-Displacement,6,1 x diesel 135hp/ DAF 575 (unknown year),East London (no mooring)
Dutch Barge 23m,GBP,165000.00,300621,23.45,1903,Steel,Full-Displacement,5,1 x diesel 0hp/ DAF 615 (2007),Millwall Outer Dock/ Canary Wharf
Dutch Barge 20m With London Mooring,GBP,165000.00,307220,20.19,1905,Steel,Full-Displacement,3,1 x diesel 35hp/ Kromhout 3LS (1947),Uxbridge
Dutch Barge 33m,GBP,165000.00,320575,33.85,1904,Steel,Full-Displacement,6,1 x diesel 145hp/ Scania DS8 (2021),Central London
Cranchi Atlantique 48,GBP,164000.00,313527,15.72,1999,GRP,Planing,7,2 x diesel 480hp/ Volvo Penta TAMD74P (1999),Humberside
Tayana 55 Sloop,USD,199950.00,260111,16.76,1993,GRP,Fin,6,1 x diesel 158hp/ Yanmar 4LHA- HTP (2011),Langkawi
Swiftships 103 Commercial Passenger Vessel,USD,199000.00,305312,31.39,1974,Aluminium,Semi-Displacement,10,3 x diesel 750hp/ Detroit 12V-71 twin turbo (1974),Bellingham/ WA USA - Shown By Appointment
Van De Stadt Helena 38 Aluminum Passagemaker,USD,198000.00,312600,11.58,2008,Aluminium,Other,6,1 x diesel 70hp/ Lugger L984D  (2008),Port Townsend/ WA USA -- Shown by Appointment
Macan Boats 28 Series,EUR,182280.00,316615,8.50,New,Aluminium,Planing,,,Italy
Mochi Craft Mega 25,EUR,800000.00,204720,26.21,1997,GRP,Planing,12,2 x diesel 1850hp/ MTU 16V 2000 M90 (1997),BARCELONA
Barge 23m With London Mooring,GBP,160000.00,321056,23.16,1956,Steel,Full-Displacement,3,1 x diesel 59hp/ Lister (unknown year),Brentford/ West London
Sea Otter Dutch Barge 15m With London Mooring,GBP,159000.00,305505,15.30,2004,Aluminium,Full-Displacement,4,1 x diesel 105hp/ Vetus Deutz (2004),South Dock Marina/ London SE16
Bavaria 46 Cruiser,EUR,180000.00,216047,14.27,2016,GRP,Fin and Bulb,9,1 x diesel 53hp/ Volvo Penta D2-55 (2016),Middle Dalmatia/ Croatia
Rodman 41 Flybridge,EUR,179950.00,311247,11.90,2005,GRP,Semi-Displacement,4,2 x diesel 430hp/ Volvo (2005),Valencia
Beneteau Oceanis 473,USD,189995.00,320451,14.30,2005,GRP,Fin and Bulb,6,1 x diesel 75hp/ Yanmar 4JH3-TE (2005),St.Lucia
Sealine F37 Bow And Stern Thrusters,GBP,150000.00,320537,11.73,2003,GRP,Planing,5,2 x diesel 230hp/ Volvo Penta KAMD43P (2003),Essex
Dutch Barge 18m With London Mooring,GBP,150000.00,307135,18.50,1903,Steel,Full-Displacement,2,1 x diesel 65hp/ Lister (1950),South Dock Marina/ London SE16
Dutch Barge 23m,GBP,150000.00,306657,23.35,1890,Steel,Full-Displacement,4,1 x diesel 70hp/ Kromhout (1955),Blackwall Basin/ Canary Wharf E14
Restaurant Boat 28m,GBP,150000.00,306016,32.42,1912,Steel,Full-Displacement,,,East London
Jeanneau Merry Fisher 895 Offshore Marlin/Sport,GBP,149950.00,315512,8.92,2020,GRP,Planing,4,2 x gasoline 250hp/ Yamaha (2021),Essex
Mangusta 92,EUR,800000.00,201217,28.04,1995,GRP,Planing,7,2 x diesel 1850hp/ Deutz (1995),Gibraltar
Fairline Targa 40,GBP,149950.00,320727,12.65,2005,GRP,Planing,6,2 x diesel 310hp/ Volvo Penta D6 with VDC (2005),Eastbourne
Barge Wide Beam Live Aboard Barge,EUR,170000.00,237271,15.09,1990,Steel,Full-Displacement,8,1 x diesel 110hp/ VOLVO TAMD 30 TURBO (1989),South Burgundy
Legendary Yachts Araminta 33 Ketch Daysailer,USD,180000.00,202033,10.06,2000,Wood Strip Plank,Long Keel,4,1 x diesel 18hp/ Yanmar 2 GM 20 (2000),Washougal/ WA USA - Shown by Appointment
Ranger Tugs R-27 Northwest Edition,USD,179900.00,316342,8.23,2019,GRP,Planing,4,1 x gasoline 300hp/ Yamaha (2019),Poulsbo/ WA/ USA - Shown by Appointment
Jeanneau 389,USD,179000.00,312446,11.34,2019,GRP,Fin,4,1 x diesel 29hp/ Yanmar 3YM30AE (2019),Road Town/ Tortola
Wilmington Boat Works 96 Ft. Custom Motor Yacht Nationally Registered Historic Vessel,USD,179000.00,302050,29.26,1927,Wood,Full-Displacement,11,1 x diesel 456hp/ Detroit 12V71 (1990),Kitsap County/ WA USA - Shown by Appointment
Dragonfly 28 Touring,EUR,165000.00,316213,8.75,2015,GRP,Lifting Keel,5,1 x gasoline 15hp/ Honda 15 Hp/ BF15DK2XRTU/ Ultra Long/ 4-stroke  (2015),Torredembarra Tarragona
Wide Beam 65ft,GBP,145000.00,321114,19.81,2016,Steel,Full-Displacement,4,1 x diesel 60hp/ Canaline (2016),Uxbridge
Collingwood 70x12 Wide Beam,GBP,145000.00,320135,21.34,2017,Steel,Full-Displacement,4,1 x diesel 70hp/ Canaline (2017),Central London
Sealine F44,GBP,144950.00,312421,13.30,1999,GRP,Planing,6,2 x diesel 370hp/ Volvo Penta TAMD 63 (1999),Eastbourne
Aicon 64 With Extended Hydraulic Bathing Platform And Flybridge Canopy,EUR,795000.00,314274,21.50,2009,GRP,Planing,10,2 x diesel 1300hp/ Man v12 (2009),French Riviera  
Compass 47,USD,175800.00,315121,14.33,2016,GRP,Fin,8,1 x diesel 55hp/ Volvo Penta D2-55 (2009),Western Cape
Tiara Yachts 4000 Express Hardtop Cruiser,USD,174900.00,315542,12.19,1996,GRP,Planing,4,2 x diesel 420hp/ Cummings  6CTA8.3M2 Blue Diamond Series (1996),S. Texas
Dutch Barge 23m,EUR,160000.00,242616,23.00,1926,Steel,Full-Displacement,4,1 x diesel 86hp/ DAF 475 (unknown year),Canal du Midi
Nordia 58,EUR,159950.00,312545,17.00,1984,Aluminium,Long Keel,6,1 x diesel 106hp/ Volvo Penta (1984),Valencia
Classic Dutch Barge 63ft,GBP,140000.00,310576,19.20,1931,Steel,Full-Displacement,4,1 x diesel 70hp/ Mercedes (1965),Herts
President 47 AFT CABIN! AFT DECK! LIVE-ABOARD! NOW REDUCED!!,GBP,139995.00,276545,14.43,1992,GRP,Semi-Displacement,6,2 x diesel 375hp/ Caterpillar 3208 (unknown year),Suffolk
Azimut 39 Flybridge,GBP,139950.00,316463,11.99,2001,GRP,Planing,4,2 x diesel 350hp/ Caterpillar 3126 DITA (2001),Suffolk
Dutch Steel Cruiser 45 ROYAL Motor Cruiser,EUR,159000.00,316072,14.10,1993,Steel,Full-Displacement,6,1 x diesel 150hp/ VOLVO TMD41D (1993),Canal du Midi
NUOVA JOLLY Prince 35 Sport Cabin 11 Meter Sport Cabin,GBP,139000.00,306002,11.00,2017,GRP,Planing,2,2 x gasoline 350hp/ Mercury Verado (2017),South of France
Voorwaarts 18m Steel Industrie Tug 1938,GBP,139000.00,311753,18.21,1938,Steel,Full-Displacement,3,1 x diesel 150hp/ industrie 3vd6a (1938),Buckenham
Princess V48 Deck Salon,GBP,675000.00,306464,15.49,2016,GRP,Planing,7,2 x diesel 435hp/ Volvo Penta IPS600 diesel pod drives (2016),Essex
Island Packet 40,USD,170000.00,312207,12.68,1994,GRP,Long Keel,5,1 x diesel 50hp/ Yanmar 4JH2E (1994),Grenada
Dutch Barge Tjalk Live Aboard Possible,EUR,155000.00,300021,15.55,1896,Steel,Full-Displacement,7,1 x diesel 146hp/ VOLVO PENTA TAMD 41B (2008),East Paris Area
Chantier Naval De L'Esterel CNC 51 Centerboard,EUR,155000.00,315770,15.53,1983,GRP,Lifting Keel,5,1 x diesel 130hp/ PERKINS 6.354M (1982),ATHENS
Dutch Barge 22m With London Mooring,GBP,135000.00,315201,22.00,1920,Steel,Full-Displacement,4,1 x diesel 0hp/ DAF 575 (unknown year),Brentford
Tom Pudding Tug 68ft,GBP,135000.00,315674,20.88,1960,Steel,Full-Displacement,5,1 x diesel 135hp/ Lister Blackstone (1960),East Yorkshire
Viko S35 3 Cabin,GBP,134995.00,315052,12.00,2021,GRP,Fin and Bulb,6,1 x diesel 30hp/ Yanmar YGM3 (2021),Ipswich 
Widebeam 65ft Cruiser Stern Bespoke Build,GBP,134950.00,316403,19.81,2008,Steel,Full-Displacement,3,1 x diesel 66hp/ Perkins 4236 3.8l (2008),East Yorkshire
Taswell 43,USD,164995.00,317555,13.06,1990,GRP,Fin,6,1 x diesel 66hp/ Yanmar 4JH-HTE (1990),St.Lucia
Luxemotor Dutch  Barge TRIVW VALIDE 18/07/2029,EUR,150000.00,316642,28.00,1924,Steel,Full-Displacement,5,1 x diesel 120hp/ DAF 575 DS TURBO (unknown year),EAST ILE DE FRANCE / CHAMPAGNE Area
Peniche Freycinet Live Aboard Barge,EUR,150000.00,236254,34.17,1909,Steel,Full-Displacement,5,1 x diesel 150hp/ MAN (unknown year),North Paris area
Sunreef 62,EUR,750000.00,63010,18.28,2005,GRP,Multihull,8,2 x diesel 110hp/ Yanmar  (2007),Barcelona
Eurobanker 42 Flybridge/ Deep V,EUR,150000.00,306211,13.18,1979,GRP,Semi-Displacement,6,2 x diesel 124hp/ Volvo Penta TMD 40 A (unknown year),Volos
Nutshell 26,EUR,149950.00,310136,8.15,New,GRP,Multihull,2,2 x diesel 14hp/ Yanmar,Cape Town
Dive Boat 21 M,THB,5500000.00,267217,21.00,2003,Wood,Full-Displacement,,2 x diesel 315hp/ EK 100 (unknown year),Phuket / Thailand
Beneteau Oceanis 423,USD,160000.00,317373,12.80,2006,GRP,Fin,7,1 x diesel 55hp/ Volvo Penta  4 cyl (2006),Seattle/ WA USA - At Our Docks!
Bruce Roberts 53 Professional Build,USD,160000.00,317310,16.15,1998,Steel,Fin,6,1 x diesel 135hp/ Perkins (1998),Krabi
ABC Wide Beam  50,GBP,130000.00,316521,15.24,2019,Steel,Full-Displacement,2,,Medway/ Kent 
Burscough 60ft Cruiser Stern Widebeam,GBP,129950.00,315261,18.29,2018,Steel,Full-Displacement,4,1 x diesel 90hp/ Barrus Shire (2018),Knowle/ Grand Union
Dehler Custom Varianta 44,USD,159000.00,320465,13.40,2011,GRP,Fin and Bulb,7,1 x diesel 40hp/ Volvo D2 / 40 (2011),Phuket / Thailand
Wide Beam Collingwood 60 X 12 Eurocruiser 2 Bedrooms,GBP,128000.00,317247,18.29,2014,Steel,Full-Displacement,4,1 x diesel 65hp/ Canaline 65 (2014),Leeds Liverpool Canal
Beneteau 50,USD,157000.00,315132,15.24,1997,GRP,Fin and Bulb,8,1 x diesel 85hp/ Perkins M-90 (1997),Seattle/ WA USA - At Our Docks!
Mangusta 92,EUR,2500000.00,271615,26.32,2008,GRP,Planing,,2 x diesel 2450hp/ MTU 16V2450M (unknown year),French Riviera
Boat Yard,GBP,650000.00,317404,30.00,unknown year,Other,Other,,,Isle of Wight
Dutch Steel Motor Cruiser 40ft Live Aboard Possible,EUR,145000.00,321067,11.95,1998,Steel,Semi-Displacement,6,1 x diesel 105hp/ DAF 575 - 6 Cylindres (1998),North Ile de France / Hauts de France region
Dutch Barge 18m Converted Bunker Boat,EUR,145000.00,314346,18.04,1929,Steel,Full-Displacement,4,1 x diesel 165hp/ DAF 825 turbo (unknown year),Saone river
Dutch Steel Cruiser AQUACRAFT 1250 AK,EUR,145000.00,314354,12.60,1993,Steel,Full-Displacement,6,1 x diesel 130hp/ FORD 2700 (2021),Saone 
Grand Banks 42 Classic TRAWLER,EUR,144900.00,315451,12.45,1973,GRP,Full-Displacement,8,2 x diesel 120hp/ FORD LEMON (1973),East ILe de France or Normandy
Jeanneau Sun Odyssey 42 DS,EUR,144750.00,317467,12.93,2007,GRP,Fin and Bulb,7,1 x diesel 54hp/ Yanmar 4JH4AE (2007),French Riviera
Pearlsea 33 Open Sport Cruiser,EUR,144500.00,262256,10.88,2016,GRP,Planing,4,2 x diesel 260hp/ Volvo-D4 260/DP common rail (2016),Middle Dalmatia Croatia
Regal 4080 Flybridge Sedan,EUR,144000.00,236243,12.19,2007,GRP,Planing,6,2 x diesel 375hp/ Volvo Penta D6 (2007),Frejus
Widebeam 57ft Twin Cabin,GBP,125000.00,307614,17.37,2012,Steel,Full-Displacement,2,1 x diesel 55hp/ Barrus Shire (2012),Essex
Viko S35 - New Boat,GBP,124995.00,301000,12.00,New,GRP,Fin and Bulb,6,1 x diesel 15hp/ Nanni,Suffolk
Spencer 53 Center Cockpit,GBP,124950.00,317346,16.17,1972,GRP,Fin,8,1 x diesel 87hp/ Lombardi Marine LD 2400 MT. (2012), A Coruna
Gaff Rigged 61 Topsail Schooner,USD,789500.00,316160,18.59,1977,Wood,Long Keel,10,1 x diesel 230hp/ John Deere 6068AFM85 six cylinder diesel (2018),San Juan Islands/ WA USA - Shown by Appointment
Vancouver 34 Pilot Dual Helm,GBP,124950.00,317407,10.44,2001,GRP,Long Keel,6,1 x diesel 35hp/ Beta Marine (2022),Suffolk
Nicols Estivale Octo Pre Purchase Survey Available,EUR,139000.00,260130,13.50,2011,GRP,Full-Displacement,8,1 x diesel 50hp/ NANNI N4.50 (2011),LOT Valley
Dutch Tjalk AAK,EUR,139000.00,302205,18.17,1929,Steel,Full-Displacement,6,1 x diesel 130hp/ PERKINS (unknown year),CHAMPAGNE
Dutch Steel Cruiser KOTTER,EUR,139000.00,321064,12.85,1998,Steel,Full-Displacement,6,1 x diesel 115hp/ CUMMINS (unknown year),midi canals
Steel Cruiser EURO CLASSIC 139,EUR,139000.00,316133,13.90,2005,Steel,Full-Displacement,6,1 x diesel 75hp/ BETA 3300 (2004),midi canals
Beneteau First 53 F5 Cruiser / Racer,USD,149950.00,260350,16.20,1992,GRP,Fin and Bulb,6,1 x diesel 80hp/ Yanmar 4JH4 -TE (2008),Phuket / Thailand
Dutch Barge 54ft With London Mooring,GBP,120000.00,317104,14.80,1909,Steel,Full-Displacement,2,1 x diesel 0hp/ Ford (unknown year),Hampton
Collingwood 60 X 9 Widebeam,GBP,120000.00,314734,18.29,2017,Steel,Full-Displacement,2,1 x diesel 52hp/ Canaline (2017),River Thames
Neptunus 145,GBP,120000.00,315047,14.30,1988,GRP,Semi-Displacement,6,2 x diesel 357hp/ Volvo TAMD71A (1988),North Suffolk
Wide Beam 58ft Calder &amp; Hebble Keel Flyboat 150 Year Old British Barge!,GBP,120000.00,314362,17.62,1869,Iron,Full-Displacement,6,1 x diesel 38hp/ Ford 4D (1956),Bridgewater Canal
Maiora 26 Raised Pilot House. Under 24m LLL. VAT Paid,EUR,695000.00,305320,26.00,1996,GRP,Semi-Displacement,13,2 x diesel 1800hp/ MTU 16V 2000 M90 (1996),Barcelona
Bavaria 37,GBP,120000.00,314123,11.30,2015,GRP,Fin and Bulb,8,1 x diesel 29hp/ Volvo-Penta Saildrive D1-30 (2015),Gosport
LE BOAT VISION 57 3 Cabins,EUR,135000.00,314035,14.97,2012,GRP,Full-Displacement,9,1 x diesel 75hp/ Yanmar 4JH4-TE (unknown year),Canal du Midi
Primatist G43,EUR,132000.00,272517,12.00,2001,Carbon Fibre,Full-Displacement,4,2 x diesel 425hp/ ANMAR 6YL-STP (2001),Cote d'Azur
Dutch Barge Tjalk,GBP,115250.00,306076,21.34,1923,Iron,Full-Displacement,6,1 x diesel 74hp/ Kromhaut (unknown year),South Yorkshire
Converted Tug Liveaboard,EUR,130000.00,266722,18.30,1913,Steel,Full-Displacement,3,1 x diesel 180hp/ BAUDOIN DKN 6 (unknown year),Paris South area
Mochi Craft 46 Flybridge,EUR,130000.00,224025,14.27,1987,GRP,Semi-Displacement,7,2 x diesel 550hp/ Detroit (1987),Languedoc coast
Beneteau Oceanis 30.1,USD,140000.00,271744,9.14,2020,GRP,Fin,4,1 x diesel 21hp/ Yanmar 3YM20 (2020),British Virgin Islands
Beneteau Oceanis 423 Clipper Twin Cabin,USD,139999.00,321031,13.09,2005,GRP,Fin,4,1 x diesel 55hp/ volvo penta D2-55 (2005),Cartagena
Beneteau 423 Clipper,USD,139995.00,317775,13.17,2003,GRP,Fin and Bulb,8,1 x diesel 56hp/ Yanmar 4JH3 (2003),St.Lucia
Nauticat 40 Pilothouse,USD,139995.00,317305,13.02,1985,GRP,Fin,8,1 x diesel 90hp/ Ford Lehman SP90 (1985),St.Lucia
Pilot House Ketch  - Luxurious Houseboat/Blue Water Cruiser,GBP,595000.00,307124,22.86,2012,GRP,Long Keel,8,1 x diesel 150hp/ Gardner 6LXBM  (2012),Greece
Beneteau Oceanis 43,USD,139500.00,310114,13.10,2007,GRP,Fin and Bulb,6,1 x diesel 54hp/ Yanmar 4JH4E (2007),Langkawi
Murray Peterson Gaff Schooner Coaster III,USD,139000.00,311662,12.50,1983,Wood,Long Keel,6,1 x diesel 46hp/ Yanmar 4JH2F (1992),Portland/ WA USA - Shown by Appointment
Wide Beam 55ft With London Mooring,GBP,110000.00,313557,16.76,2008,Steel,Full-Displacement,2,1 x diesel 55hp/ Isuzu (2008),Limehouse Basin/ London E14
Sunseeker Superhawk 40,GBP,110000.00,313615,12.30,2000,GRP,Planing,2,2 x diesel 220hp/ Yanmar IC Diesel  6LY2M (2000),Gibraltar
Quer 32 Cuddy,EUR,125000.00,131516,9.84,2002,GRP,Planing,4,2 x gasoline 260hp/ Mercruiser 5.0L BII (2002),Prov. Barcelona
Wide Beam 60ft With London Mooring,GBP,109950.00,311156,18.29,2007,Steel,Full-Displacement,1,1 x diesel 50hp/ NANNI (2007),West London
Grand Banks 36 Classic,USD,133000.00,317566,10.97,1973,Wood,Full-Displacement,7,2 x diesel 120hp/ Ford Lehman (1973),Edmonds/ WA USA - Shown by Appointment
Ocean Alexander 39 Excellent Cruiser!,GBP,107000.00,316202,13.50,1991,GRP,Semi-Displacement,7,2 x diesel 300hp/ Cummins 6BTA 6 Cylinder (1991),Medway/ Kent
Birchwood Crusader 400 Flybridge,EUR,120000.00,320333,12.56,1999,GRP,Semi-Displacement,5,2 x diesel 250hp/ Mercruiser D Tronic 250 (1999),Tarragona
Myabca 41 Flybridge (Menorquin Style),EUR,120000.00,120133,13.80,1995,GRP,Semi-Displacement,6,2 x diesel 200hp/ Volvo Penta TAMD41 P-A (1995),Prov. Barcelona
Dudley Dix DH50,EUR,655000.00,317772,16.75,2016,Composite,Multihull,8,2 x diesel 55hp/ D2-55F (2016),Gibraltar
Beneteau Oceanis 40CC,EUR,120000.00,141223,12.50,2000,GRP,Fin,6,1 x diesel 74.77hp/ Volvo Penta (2000),Prov. Barcelona
Bowen 28 CC Custom,USD,129000.00,315567,8.53,1990,GRP,Planing,,2 x gasoline 250hp/ Mercury  (2021),Rodney Bay 
Fairline 43 Flybridge,EUR,119000.00,321034,13.00,1989,GRP,Planing,6,2 x diesel 356hp/ Volvo penta TAMD 71A (1989),French Riviera 
Hunter 466 Comfortable Family Cruiser,USD,127500.00,310304,14.05,2003,GRP,Wing Keel,4,1 x diesel 75hp/ Yanmar 4JH (2002),S. Texas
Linssen 38 SC,EUR,117000.00,271350,11.80,1995,Steel,Full-Displacement,,1 x diesel 145hp/ VOLVO PENTA TAMD 41HD 6 cyl. (1995),South Burgundy
Zeta 32 Power Catamaran Two Stateroom Layout,USD,125000.00,317662,9.75,2000,GRP,Other,4,2 x diesel 200hp/ Volvo AD41F-A (2000),Everett/ WA USA - Shown by Appointment
Bavaria 49 Cruiser,EUR,115000.00,307154,15.40,2003,GRP,Fin,10,1 x diesel 75hp/ Volvo Penta D2-75 (2004),Costa Brava/ Girona
Dutch Barge 21m,GBP,100000.00,314277,21.20,1910,Steel,Full-Displacement,4,,Port Medway Marina/ Rochester
Solent One Design O.D.,GBP,100000.00,306442,13.67,1970,Wood Laminate,Fin,7,1 x diesel 50hp/ Nani (2014),Gibraltar
Dutch Barge 23m,GBP,99999.00,265140,23.00,1906,Steel,Full-Displacement,5,,Essex
Versilcraft  Super Challenger 96,EUR,649500.00,223203,29.70,1996,GRP,Semi-Displacement,8,2 x diesel 1875hp/ Deutz-MWM TBD616V16 (unknown year),Cote D'Azur
